Rank,Name,Points
1,Sinner Jannik,10930
2,Zverev Alexander,7935
3,Alcaraz Carlos,6510
4,Fritz Taylor,4800
5,Djokovic Novak,3850
6,Ruud Casper,3845
7,Rublev Andrey,3430
8,Tsitsipas Stefanos,3305
9,Medvedev Daniil,3280
10,De Minaur Alex,3235
11,Paul Tommy,2930
12,Draper Jack,2800
13,Shelton Ben,2780
14,Dimitrov Grigor,2645
15,Rune Holger,2620
16,Musetti Lorenzo,2600
17,Tiafoe Frances,2435
18,Auger-Aliassime Felix,2405
19,Humbert Ugo,2325
20,Machac Tomas,2300
21,Fils Arthur,2280
22,Hurkacz Hubert,2135
23,Khachanov Karen,1930
24,Korda Sebastian,1850
25,Popyrin Alexei,1750
26,Lehecka Jiri,1735
27,Cerundolo Francisco,1725
28,Shapovalov Denis,1666
29,Mpetshi Perricard Giovanni,1591
30,Berrettini Matteo,1530
31,Tabilo Alejandro,1505
32,Michelsen Alex,1415
33,Nakashima Brandon,1400
34,Baez Sebastian,1375
35,Thompson Jordan,1365
36,Arnaldi Matteo,1360
37,Sonego Lorenzo,1346
38,Davidovich Fokina Alejandro,1295
39,Cobolli Flavio,1285
40,Martinez Pedro,1245
41,Muller Alexandre,1240
42,Borges Nuno,1225
43,Griekspoor Tallon,1220
44,Etcheverry Tomas Martin,1215
45,Monfils Gael,1180
46,Struff Jan-Lennard,1150
47,Jarry Nicolas,1145
48,Giron Marcos,1140
49,Kecmanovic Miomir,1136
50,Bautista-Agut Roberto,1064
51,Zhang Zhizhen,1045
52,Carballes Baena Roberto,1041
53,Bergs Zizou,1028
54,Shang Juncheng,982
55,Munar Jaume,982
56,Goffin David,973
57,Mensik Jakub,962
58,Halys Quentin,951
59,Marozsan Fabian,935
60,Bonzi Benjamin,903
61,Darderi Luciano,895
62,Navone Mariano,880
63,Ugo Carabelli Camilo,872
64,Nishioka Yoshihito,866
65,Comesana Francisco,866
66,Tien Learner,857
67,Bellucci Mattia,839
68,Medjedovic Hamad,829
69,Bu Yunchaokete,825
70,Safiullin Roman,818
71,Djere Laslo,813
72,Vukic Aleksandar,813
73,Rinderknech Arthur,799
74,Nishikori Kei,793
75,Altmaier Daniel,783
76,O'Connell Christopher,775
77,Moutet Corentin,759
78,Nardi Luca,752
79,Fonseca Joao,750
80,Fearnley Jacob,747
81,Norrie Cameron,734
82,Dzumhur Damir,732
83,Hijikata Rinky,716
84,Van De Zandschulp Botic,710
85,Diallo Gabriel,700
86,Faria Jaime,699
87,Bublik Alexander,695
88,Fucsovics Marton,666
89,Gaston Hugo,656
90,Collignon Raphael,652
91,Kokkinakis Thanasi,648
92,Passaro Francesco,648
93,Walton Adam,636
94,Duckworth James,632
95,Kovacevic Aleksandar,630
96,Fognini Fabio,602
97,Shevchenko Alexander,588
98,Seyboth Wild Thiago,587
99,Basavareddy Nishesh,585
100,Kotov Pavel,573
101,Eubanks Christopher,569
102,Dellien Hugo,564
103,De Jong Jesper,562
104,Pouille Lucas,559
105,Harris Billy,558
106,Monteiro Thiago,552
107,McDonald Mackenzie,547
108,Carreno-Busta Pablo,544
109,Hanfmann Yannick,536
110,Holt Brandon,528
111,Tseng Chun Hsin,526
112,Lajovic Dusan,525
113,Opelka Reilly,516
114,Cazaux Arthur,508
115,Boyer Tristan,501
116,Coric Borna,499
117,Daniel Taro,491
118,Kopriva Vit,487
119,Majchrzak Kamil,482
120,Moreno De Alboran Nicolas,468
121,Ritschard Alexander,466
122,Galan Daniel Elahi,465
123,Coria Federico,464
124,Cerundolo Juan Manuel,461
125,Kovalik Jozef,460
126,Tirante Thiago Agustin,459
127,Purcell Max,456
128,Schoolkate Tristan,450
129,Kym Jerome,449
130,Ofner Sebastian,448
131,Mayot Harold,445
132,Virtanen Otto,440
133,Mannarino Adrian,436
134,Nagal Sumit,435
135,Royer Valentin,434
136,Gomez Federico Agustin,432
137,Garin Cristian,431
138,Burruchaga Roman Andres,430
139,Diaz Acosta Facundo,423
140,Quinn Ethan,422
141,Spizzirri Eliot,421
142,Harris Lloyd,416
143,Krueger Mitchell,416
144,Cilic Marin,413
145,Landaluce Martin,411
146,Basilashvili Nikoloz,400
147,Koepfer Dominik,398
148,Gasquet Richard,398
149,Barrios Vera Tomas,382
150,Jacquet Kyrian,376
151,Mochizuki Shintaro,376
152,Heide Gustavo,375
152,Moro Canas Alejandro,375
154,Moller Elmer,370
155,Uchiyama Yasutaka,369
156,Barrere Gregoire,367
157,Blanchet Ugo,360
158,Rocha Henrique,360
158,Galarneau Alexis,360
160,Blockx Alexander,354
161,Trungelliti Marco,354
162,Ficovich Juan Pablo,353
163,Svrcina Dalibor,351
164,Klein Lukas,350
165,Kukushkin Mikhail,347
166,Ajdukovic Duje,345
167,Tu Li,340
168,Wawrinka Stan,339
169,Hemery Calvin,337
170,Habib Hady,336
171,Taberner Carlos,332
172,Huesler Marc-Andrea,330
173,van Assche Luca,330
174,Kachmazov Alibek,330
175,Skatov Timofey,320
176,Meligeni Alves Felipe,320
177,Draxl Liam,319
178,Choinski Jan,319
179,Trotter James Kent,317
180,Atmane Terence,317
181,Bolt Alex,313
182,Evans Daniel,311
183,Gaubas Vilius,311
184,Herbert Pierre-Hugues,308
185,Mena Facundo,307
186,Vallejo Adolfo Daniel,306
187,Wong Chak Lam Coleman,305
188,Shimabukuro Sho,304
189,Albot Radu,303
190,McCabe James,298
191,Brouwer Gijs,289
192,Holmgren August,287
193,Mejia Nicolas,286
194,Svajda Zachary,284
195,Grenier Hugo,283
196,Lajal Mark,282
197,Lestienne Constant,281
198,Shimizu Yuta,279
199,Karatsev Aslan,278
200,Collarini Andrea,278
201,Hassan Benjamin,278
202,Dougaz Aziz,277
203,Gigante Matteo,276
204,Squire Henri,276
205,Neumayer Lukas,274
206,Marterer Maximilian,271
207,Bouquier Arthur,269
208,Rodionov Jurij,268
209,Droguet Titouan,265
210,Onclin Gauthier,264
211,Butvilas Edas,262
212,Zhukayev Beibit,262
213,Escoffier Antoine,262
214,Arnaboldi Federico,261
215,Jubb Paul,260
216,Sultanov Khumoyun,258
217,Tomic Bernard,258
218,Dellien Velasco Murkel Alejandro,256
219,Cassone Murphy,252
